experiment,fold,scale,semantic_evidence_mean,semantic_evidence_std,spatial_score_mean,spatial_score_std,final_evidence_mean,final_evidence_std,topk_proto_mean_dist_mean,topk_proto_mean_dist_std
Concept-12 PEPS topk=5 tau=0.07,1,high,0.04989143997167063,0.029708571808854282,0.0,0.0,0.04989143997167063,0.029708571808854282,0.008839515533274804,0.003543937078022891
Concept-12 PEPS topk=5 tau=0.07,1,low,0.09249661707429731,0.027217418488268648,0.0,0.0,0.09249661707429731,0.027217418488268648,0.007449350639644806,0.0021519820380948972
Concept-12 PEPS topk=5 tau=0.07,2,high,0.05798965061621009,0.03896154693241428,0.0,0.0,0.05798965061621009,0.03896154693241428,0.014300903300010583,0.00831304691096235
Concept-12 PEPS topk=5 tau=0.07,2,low,0.10380309948352037,0.036738975242394716,0.0,0.0,0.10380309948352037,0.036738975242394716,0.024019835807848677,0.009446627992294662
Concept-12 PEPS topk=5 tau=0.07,3,high,0.06874572722596525,0.033277472106682214,0.0,0.0,0.06874572722596525,0.033277472106682214,0.003997033714261528,0.001967231368257729
Concept-12 PEPS topk=5 tau=0.07,3,low,0.10797551418318573,0.033310929663748115,0.0,0.0,0.10797551418318573,0.033310929663748115,0.005900845545558232,0.0024124608154968935
Concept-12 PEPS topk=5 tau=0.07,4,high,0.08557693342982252,0.03891650263046349,0.0,0.0,0.08557693342982252,0.03891650263046349,0.0029174162176258673,0.003234070915477867
Concept-12 PEPS topk=5 tau=0.07,4,low,0.12698133998198208,0.037671783384070755,0.0,0.0,0.12698133998198208,0.037671783384070755,0.00436223908224973,0.005877854144638459
Concept-12 PEPS topk=5 tau=0.07,5,high,0.03418110719981625,0.03267863301627835,0.0,0.0,0.03418110719981625,0.03267863301627835,0.0018889266355783024,0.000553982988505134
Concept-12 PEPS topk=5 tau=0.07,5,low,0.07444692967781627,0.03193803019628619,0.0,0.0,0.07444692967781627,0.03193803019628619,0.002817169260390419,0.0006179136082785142
Concept-12 SAP-PEPS topk=5 tau=0.07,1,high,0.05888083490054599,0.02940933841770299,-0.012397778758145434,0.001922090331541492,0.0464830557137566,0.029285943817308827,0.011753781765552918,0.0018652207481901976
Concept-12 SAP-PEPS topk=5 tau=0.07,1,low,0.09553873646145049,0.0266271601383065,-0.011059981648097267,0.001470711394314631,0.08447875463948029,0.02645853043716281,0.010260247738825438,0.0016205712152280263
Concept-12 SAP-PEPS topk=5 tau=0.07,2,high,0.06233996394957165,0.04077962610256115,-0.01874216226500829,0.004023656103502553,0.043597801381204636,0.04225184945581648,0.017525696072945823,0.003192632560204902
Concept-12 SAP-PEPS topk=5 tau=0.07,2,low,0.1142925361228972,0.035710996631340836,-0.022196882376783317,0.002920637787668967,0.0920956535816922,0.03605735132029064,0.020888046870372913,0.002701665835691763
Concept-12 SAP-PEPS topk=5 tau=0.07,3,high,0.05877190682384152,0.025965972342672367,-0.011003303896040442,0.001069806830557086,0.04776860287979471,0.025983337812202446,0.010172169193500582,0.0013234737049786067
Concept-12 SAP-PEPS topk=5 tau=0.07,3,low,0.09950941300845327,0.027777349955603894,-0.0087986019069146,0.0012081069961601236,0.09071081153779603,0.02779456132485229,0.00744743277792833,0.0012218909391529798
Concept-12 SAP-PEPS topk=5 tau=0.07,4,high,0.07763093744206763,0.03480576069475451,-0.014455642496896718,0.003367979661787696,0.06317529444693744,0.03575840466921189,0.01376239550987572,0.0034401114600629205
Concept-12 SAP-PEPS topk=5 tau=0.07,4,low,0.12197326155562781,0.03725648437834152,-0.017170347772186352,0.002472674108503664,0.10480291367908984,0.03791993851121993,0.0159613252786311,0.002634548472325467
Concept-12 SAP-PEPS topk=5 tau=0.07,5,high,0.04760335537644491,0.02685520010927948,-0.008480037937732122,0.0015858199198562697,0.039123317705504534,0.026911999263023727,0.007413380114009332,0.0015138519757144512
Concept-12 SAP-PEPS topk=5 tau=0.07,5,low,0.0888746681573699,0.03150479643668377,-0.0063384036546201,0.0009650658492770935,0.08253626393786401,0.03144473317103369,0.00570615851398736,0.0010081660079149571
