slide_id,in_dataset_csv,has_5x_feature,has_20x_feature,has_both_5x_20x,low_feature_path,high_feature_path
2460239-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2460239-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460239-B2.h5
2460242-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2460242-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460242-B2.h5
2460399-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2460399-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460399-B2.h5
2460404-B3,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2460404-B3.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460404-B3.h5
2460405-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2460405-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460405-B2.h5
2460591-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2460591-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460591-B2.h5
2460602-B,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2460602-B.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460602-B.h5
2460628-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2460628-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460628-B2.h5
2460641-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2460641-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460641-B2.h5
2460643-B,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2460643-B.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460643-B.h5
2460753-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2460753-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460753-B2.h5
2460770-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2460770-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460770-B2.h5
2460949-B3,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2460949-B3.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460949-B3.h5
2460960-B,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2460960-B.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460960-B.h5
2460974-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2460974-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2460974-B2.h5
2461002-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2461002-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461002-B2.h5
2461487-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2461487-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461487-B2.h5
2461671-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2461671-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461671-B2.h5
2461672-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2461672-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461672-B2.h5
2461677-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2461677-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461677-B2.h5
2461698-B,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2461698-B.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461698-B.h5
2461700-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2461700-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461700-B2.h5
2461703-B3,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2461703-B3.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461703-B3.h5
2461718-B3,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2461718-B3.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461718-B3.h5
2461755-B3,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2461755-B3.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461755-B3.h5
2461836-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2461836-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461836-B2.h5
2461857-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2461857-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461857-B2.h5
2461861-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2461861-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2461861-B2.h5
2462123-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2462123-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462123-B2.h5
2462170-B4,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2462170-B4.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462170-B4.h5
2462290-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2462290-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462290-B2.h5
2462293-B3,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2462293-B3.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462293-B3.h5
2462478-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2462478-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462478-B2.h5
2462483-B,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2462483-B.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462483-B.h5
2462598-B,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2462598-B.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462598-B.h5
2462614-B3,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2462614-B3.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462614-B3.h5
2462637-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2462637-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462637-B2.h5
2462830-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2462830-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462830-B2.h5
2462830-B4,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2462830-B4.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462830-B4.h5
2462840-B5,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2462840-B5.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462840-B5.h5
2462885-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2462885-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462885-B2.h5
2462920-B3,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2462920-B3.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462920-B3.h5
2462921-B,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2462921-B.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462921-B.h5
2462987-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2462987-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2462987-B2.h5
2463126-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2463126-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2463126-B2.h5
2463127-B3,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2463127-B3.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2463127-B3.h5
2463135-B,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2463135-B.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2463135-B.h5
2463187-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2463187-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2463187-B2.h5
2463351-B4,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2463351-B4.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2463351-B4.h5
2463370-B2,True,True,True,True,/xiangmu/data/VILMIL/features_biomedclip_5x/2463370-B2.h5,/xiangmu/data/VILMIL/features_biomedclip_20x/2463370-B2.h5
