flip_type,fold,sample_id,slide_id,label,pred_full,pred_concept_only,pred_visual_only,pred_full_without_visual,full_correct,concept_correct,visual_correct,full_without_visual_correct,full_margin,concept_margin,visual_margin,csg_margin,visual_contribution_ratio,concept_contribution_ratio,csg_contribution_ratio
concept_only_correct_full_wrong,2,2465827-B5,2465827-B5,0,1,0,1,0,False,True,False,True,-0.7392622232437134,0.6776177883148193,-1.410665512084961,0.018116407096385956,0.7629368305206299,0.23706312477588654,0.002570340409874916
concept_only_correct_full_wrong,2,2469260-B3,2469260-B3,0,1,0,1,0,False,True,False,True,-0.2842841148376465,1.3106145858764648,-1.588684320449829,0.020084694027900696,0.40896621346473694,0.5910338163375854,0.0007229739567264915
concept_only_correct_full_wrong,2,25036341B,25036341B,1,0,1,0,1,False,True,False,True,-0.5353997945785522,0.13899922370910645,-0.6806132197380066,0.006043720990419388,0.20023173093795776,0.7997682690620422,0.0032867896370589733
visual_only_correct_concept_wrong,2,2488302-B2,2488302-B2,1,1,0,1,0,True,False,True,False,0.5503804683685303,-0.5901446342468262,1.1343104839324951,-0.02248344011604786,0.17296096682548523,0.8270390629768372,3.568057218217291e-05
visual_only_correct_concept_wrong,2,2490980B,2490980B,1,1,0,1,0,True,False,True,False,0.4459955096244812,-0.07066947221755981,0.5104506611824036,-0.019390229135751724,0.5304241180419922,0.4695759117603302,0.003319854848086834
concept_only_wrong_full_correct,2,2488302-B2,2488302-B2,1,1,0,1,0,True,False,True,False,0.5503804683685303,-0.5901446342468262,1.1343104839324951,-0.02248344011604786,0.17296096682548523,0.8270390629768372,3.568057218217291e-05
concept_only_wrong_full_correct,2,2490980B,2490980B,1,1,0,1,0,True,False,True,False,0.4459955096244812,-0.07066947221755981,0.5104506611824036,-0.019390229135751724,0.5304241180419922,0.4695759117603302,0.003319854848086834
full_without_visual_correct_full_wrong,2,2465827-B5,2465827-B5,0,1,0,1,0,False,True,False,True,-0.7392622232437134,0.6776177883148193,-1.410665512084961,0.018116407096385956,0.7629368305206299,0.23706312477588654,0.002570340409874916
full_without_visual_correct_full_wrong,2,2469260-B3,2469260-B3,0,1,0,1,0,False,True,False,True,-0.2842841148376465,1.3106145858764648,-1.588684320449829,0.020084694027900696,0.40896621346473694,0.5910338163375854,0.0007229739567264915
full_without_visual_correct_full_wrong,2,25036341B,25036341B,1,0,1,0,1,False,True,False,True,-0.5353997945785522,0.13899922370910645,-0.6806132197380066,0.006043720990419388,0.20023173093795776,0.7997682690620422,0.0032867896370589733
full_correct_full_without_visual_wrong,2,2488302-B2,2488302-B2,1,1,0,1,0,True,False,True,False,0.5503804683685303,-0.5901446342468262,1.1343104839324951,-0.02248344011604786,0.17296096682548523,0.8270390629768372,3.568057218217291e-05
full_correct_full_without_visual_wrong,2,2490980B,2490980B,1,1,0,1,0,True,False,True,False,0.4459955096244812,-0.07066947221755981,0.5104506611824036,-0.019390229135751724,0.5304241180419922,0.4695759117603302,0.003319854848086834
