flip_type,fold,sample_id,slide_id,label,pred_full,pred_concept_only,pred_visual_only,pred_full_without_visual,full_correct,concept_correct,visual_correct,full_without_visual_correct,full_margin,concept_margin,visual_margin,csg_margin,visual_contribution_ratio,concept_contribution_ratio,csg_contribution_ratio
concept_only_correct_full_wrong,2,25022584B2,25022584B2,1,0,1,0,1,False,True,False,True,-0.2975701093673706,0.49728813767433167,-0.8005287051200867,-0.008227263577282429,0.9296289682388306,0.07037102431058884,0.005934683606028557
visual_only_correct_concept_wrong,2,2468417-B2,2468417-B2,0,0,1,0,1,True,False,True,False,0.6373189687728882,-0.2577406167984009,0.9007301330566406,-0.011327361688017845,0.2287292182445526,0.7712708115577698,0.005422498565167189
visual_only_correct_concept_wrong,2,25015640B5,25015640B5,1,1,0,1,0,True,False,True,False,0.8606482744216919,-1.365338683128357,2.2203164100646973,-0.05874940752983093,0.49468016624450684,0.5053197741508484,0.00273671536706388
visual_only_correct_concept_wrong,2,25025291B,25025291B,1,0,0,1,0,False,False,True,False,-0.6931304931640625,-1.057758092880249,0.35895711183547974,-0.025845227763056755,0.04805588722229004,0.95194411277771,0.005525063723325729
visual_only_correct_concept_wrong,2,25032626B2,25032626B2,1,1,0,1,0,True,False,True,False,0.4923391342163086,-0.13527774810791016,0.6219465136528015,0.021897239610552788,0.1835421621799469,0.8164578676223755,0.00015674845781177282
concept_only_wrong_full_correct,2,2468417-B2,2468417-B2,0,0,1,0,1,True,False,True,False,0.6373189687728882,-0.2577406167984009,0.9007301330566406,-0.011327361688017845,0.2287292182445526,0.7712708115577698,0.005422498565167189
concept_only_wrong_full_correct,2,25015640B5,25015640B5,1,1,0,1,0,True,False,True,False,0.8606482744216919,-1.365338683128357,2.2203164100646973,-0.05874940752983093,0.49468016624450684,0.5053197741508484,0.00273671536706388
concept_only_wrong_full_correct,2,25032626B2,25032626B2,1,1,0,1,0,True,False,True,False,0.4923391342163086,-0.13527774810791016,0.6219465136528015,0.021897239610552788,0.1835421621799469,0.8164578676223755,0.00015674845781177282
full_without_visual_correct_full_wrong,2,25022584B2,25022584B2,1,0,1,0,1,False,True,False,True,-0.2975701093673706,0.49728813767433167,-0.8005287051200867,-0.008227263577282429,0.9296289682388306,0.07037102431058884,0.005934683606028557
full_correct_full_without_visual_wrong,2,2468417-B2,2468417-B2,0,0,1,0,1,True,False,True,False,0.6373189687728882,-0.2577406167984009,0.9007301330566406,-0.011327361688017845,0.2287292182445526,0.7712708115577698,0.005422498565167189
full_correct_full_without_visual_wrong,2,25015640B5,25015640B5,1,1,0,1,0,True,False,True,False,0.8606482744216919,-1.365338683128357,2.2203164100646973,-0.05874940752983093,0.49468016624450684,0.5053197741508484,0.00273671536706388
full_correct_full_without_visual_wrong,2,25032626B2,25032626B2,1,1,0,1,0,True,False,True,False,0.4923391342163086,-0.13527774810791016,0.6219465136528015,0.021897239610552788,0.1835421621799469,0.8164578676223755,0.00015674845781177282
