variant,fold,slide_id,label,pred,correct,prarc_gate,prarc_gate_features,prarc_skip_reason,visual_concept_conflict,low_high_sign_agreement,concept_pred_margin_abs,prediction_confidence_margin,dominant_source_ratio,low_high_margin_agreement
prarc_v1_g05,0,2460239-B2,0,0,1,0.5380064845085144,"{""concept_pred_margin_abs"": 0.2297418713569641, ""dominant_source_ratio"": 0.9858994483947754, ""low_high_margin_agreement"": 0.8133171796798706, ""low_high_sign_agreement"": 0.0, ""prediction_confidence_margin"": 0.2297418713569641, ""visual_concept_conflict"": 0.0}",,0.0,0.0,0.2297418713569641,0.2297418713569641,0.9858994483947754,0.8133171796798706
prarc_v1_g05,0,2460628-B2,0,0,1,0.5398790836334229,"{""concept_pred_margin_abs"": 0.30329233407974243, ""dominant_source_ratio"": 0.9874861240386963, ""low_high_margin_agreement"": 0.8327586650848389, ""low_high_sign_agreement"": 1.0, ""prediction_confidence_margin"": 0.30329233407974243, ""visual_concept_conflict"": 0.0}",,0.0,1.0,0.30329233407974243,0.30329233407974243,0.9874861240386963,0.8327586650848389
prarc_v1_g05,0,2460641-B2,0,0,1,0.5398576259613037,"{""concept_pred_margin_abs"": 0.15528468787670135, ""dominant_source_ratio"": 0.9935954809188843, ""low_high_margin_agreement"": 0.9756312370300293, ""low_high_sign_agreement"": 1.0, ""prediction_confidence_margin"": 0.15528468787670135, ""visual_concept_conflict"": 0.0}",,0.0,1.0,0.15528468787670135,0.15528468787670135,0.9935954809188843,0.9756312370300293
prarc_v1_g05,0,2460960-B,0,0,1,0.5398364067077637,"{""concept_pred_margin_abs"": 0.30200067162513733, ""dominant_source_ratio"": 0.9864060282707214, ""low_high_margin_agreement"": 0.8136097192764282, ""low_high_sign_agreement"": 1.0, ""prediction_confidence_margin"": 0.30200067162513733, ""visual_concept_conflict"": 0.0}",,0.0,1.0,0.30200067162513733,0.30200067162513733,0.9864060282707214,0.8136097192764282
prarc_v1_g05,0,2461671-B2,0,0,1,0.539882242679596,"{""concept_pred_margin_abs"": 0.29043814539909363, ""dominant_source_ratio"": 0.9890345931053162, ""low_high_margin_agreement"": 0.8447209596633911, ""low_high_sign_agreement"": 1.0, ""prediction_confidence_margin"": 0.29043814539909363, ""visual_concept_conflict"": 0.0}",,0.0,1.0,0.29043814539909363,0.29043814539909363,0.9890345931053162,0.8447209596633911
prarc_v1_g05,0,2461677-B2,0,0,1,0.5398449301719666,"{""concept_pred_margin_abs"": 0.3056827485561371, ""dominant_source_ratio"": 0.9863473176956177, ""low_high_margin_agreement"": 0.8151117563247681, ""low_high_sign_agreement"": 1.0, ""prediction_confidence_margin"": 0.3056827485561371, ""visual_concept_conflict"": 0.0}",,0.0,1.0,0.3056827485561371,0.3056827485561371,0.9863473176956177,0.8151117563247681
prarc_v1_g05,0,2461700-B2,0,0,1,0.5398521423339844,"{""concept_pred_margin_abs"": 0.2403716892004013, ""dominant_source_ratio"": 0.9767352938652039, ""low_high_margin_agreement"": 0.8326795697212219, ""low_high_sign_agreement"": 1.0, ""prediction_confidence_margin"": 0.2403716892004013, ""visual_concept_conflict"": 0.0}",,0.0,1.0,0.2403716892004013,0.2403716892004013,0.9767352938652039,0.8326795697212219
prarc_v1_g05,0,2462478-B2,0,0,1,0.5399897694587708,"{""concept_pred_margin_abs"": 0.25674527883529663, ""dominant_source_ratio"": 0.9714021682739258, ""low_high_margin_agreement"": 0.8659334182739258, ""low_high_sign_agreement"": 1.0, ""prediction_confidence_margin"": 0.25674527883529663, ""visual_concept_conflict"": 0.0}",,0.0,1.0,0.25674527883529663,0.25674527883529663,0.9714021682739258,0.8659334182739258
prarc_v1_g05,0,2462598-B,0,0,1,0.539034903049469,"{""concept_pred_margin_abs"": 0.0642600804567337, ""dominant_source_ratio"": 0.917975664138794, ""low_high_margin_agreement"": 0.9397398829460144, ""low_high_sign_agreement"": 0.0, ""prediction_confidence_margin"": 0.0642600804567337, ""visual_concept_conflict"": 0.0}",,0.0,0.0,0.0642600804567337,0.0642600804567337,0.917975664138794,0.9397398829460144
prarc_v1_g05,0,2462637-B2,0,0,1,0.5400636792182922,"{""concept_pred_margin_abs"": 0.14267762005329132, ""dominant_source_ratio"": 0.9403086304664612, ""low_high_margin_agreement"": 0.9330244064331055, ""low_high_sign_agreement"": 1.0, ""prediction_confidence_margin"": 0.14267762005329132, ""visual_concept_conflict"": 0.0}",,0.0,1.0,0.14267762005329132,0.14267762005329132,0.9403086304664612,0.9330244064331055
