experiment,fold,true_class_name,rank,prompt_text,prompt_concept,count,frequency
Concept-12 PEPS topk=1 tau=0.1,1,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,102,0.3984375
Concept-12 PEPS topk=1 tau=0.1,1,Adenocarcinoma,2,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,73,0.28515625
Concept-12 PEPS topk=1 tau=0.1,1,Adenocarcinoma,3,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,53,0.20703125
Concept-12 PEPS topk=1 tau=0.1,1,Adenocarcinoma,4,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,atypical gland-forming tumor cells,13,0.05078125
Concept-12 PEPS topk=1 tau=0.1,1,Adenocarcinoma,5,A high magnification histopathology image showing solid sheets of adenocarcinoma cells with nuclear atypia.,solid sheets with nuclear atypia,7,0.02734375
Concept-12 PEPS topk=1 tau=0.1,1,NonAdenocarcinoma,1,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,46,0.3484848484848485
Concept-12 PEPS topk=1 tau=0.1,1,NonAdenocarcinoma,2,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,31,0.23484848484848486
Concept-12 PEPS topk=1 tau=0.1,1,NonAdenocarcinoma,3,A high magnification histopathology image showing atypical spindle tumor cells without gland formation or mucin production.,spindle cell atypia without gland formation,30,0.22727272727272727
Concept-12 PEPS topk=1 tau=0.1,1,NonAdenocarcinoma,4,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.,benign reactive lung tissue,7,0.05303030303030303
Concept-12 PEPS topk=1 tau=0.1,1,NonAdenocarcinoma,5,A low magnification histopathology image showing organoid nests and trabeculae consistent with neuroendocrine morphology.,organoid neuroendocrine nesting pattern,5,0.03787878787878788
Concept-12 PEPS topk=1 tau=0.1,2,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,127,0.49609375
Concept-12 PEPS topk=1 tau=0.1,2,Adenocarcinoma,2,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,116,0.453125
Concept-12 PEPS topk=1 tau=0.1,2,Adenocarcinoma,3,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,12,0.046875
Concept-12 PEPS topk=1 tau=0.1,2,Adenocarcinoma,4,A high magnification histopathology image showing adenocarcinoma cells with intracytoplasmic mucin vacuoles.,intracytoplasmic mucin vacuoles,1,0.00390625
Concept-12 PEPS topk=1 tau=0.1,2,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,59,0.44696969696969696
Concept-12 PEPS topk=1 tau=0.1,2,NonAdenocarcinoma,2,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,metastatic tumor in lung,24,0.18181818181818182
Concept-12 PEPS topk=1 tau=0.1,2,NonAdenocarcinoma,3,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,solid non-gland-forming tumor nests,20,0.15151515151515152
Concept-12 PEPS topk=1 tau=0.1,2,NonAdenocarcinoma,4,A low magnification histopathology image showing organoid nests and trabeculae consistent with neuroendocrine morphology.,organoid neuroendocrine nesting pattern,9,0.06818181818181818
Concept-12 PEPS topk=1 tau=0.1,2,NonAdenocarcinoma,5,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.,benign reactive lung tissue,6,0.045454545454545456
Concept-12 PEPS topk=1 tau=0.1,3,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,120,0.47244094488188976
Concept-12 PEPS topk=1 tau=0.1,3,Adenocarcinoma,2,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,118,0.4645669291338583
Concept-12 PEPS topk=1 tau=0.1,3,Adenocarcinoma,3,A low magnification histopathology image showing lung adenocarcinoma with lepidic growth pattern.,lepidic growth pattern,9,0.03543307086614173
Concept-12 PEPS topk=1 tau=0.1,3,Adenocarcinoma,4,A high magnification histopathology image showing lepidic tumor cells growing along alveolar septa.,lepidic tumor cells along alveolar septa,7,0.027559055118110236
Concept-12 PEPS topk=1 tau=0.1,3,NonAdenocarcinoma,1,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,keratinization,45,0.3358208955223881
Concept-12 PEPS topk=1 tau=0.1,3,NonAdenocarcinoma,2,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,25,0.1865671641791045
Concept-12 PEPS topk=1 tau=0.1,3,NonAdenocarcinoma,3,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.,inflammatory or granulomatous lesion,21,0.15671641791044777
Concept-12 PEPS topk=1 tau=0.1,3,NonAdenocarcinoma,4,A low magnification histopathology image showing necrotic squamous carcinoma nests without glandular differentiation.,necrotic squamous carcinoma nests,15,0.11194029850746269
Concept-12 PEPS topk=1 tau=0.1,3,NonAdenocarcinoma,5,A high magnification histopathology image showing chondroid or myxochondroid matrix characteristic of hamartomatous morphology.,chondroid or myxochondroid matrix,11,0.08208955223880597
Concept-12 PEPS topk=1 tau=0.1,4,Adenocarcinoma,1,A high magnification histopathology image showing small floating clusters of adenocarcinoma cells without fibrovascular cores.,floating micropapillary clusters,93,0.3661417322834646
Concept-12 PEPS topk=1 tau=0.1,4,Adenocarcinoma,2,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,58,0.2283464566929134
Concept-12 PEPS topk=1 tau=0.1,4,Adenocarcinoma,3,A low magnification histopathology image showing lung adenocarcinoma with lepidic growth pattern.,lepidic growth pattern,43,0.16929133858267717
Concept-12 PEPS topk=1 tau=0.1,4,Adenocarcinoma,4,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,atypical gland-forming tumor cells,17,0.06692913385826772
Concept-12 PEPS topk=1 tau=0.1,4,Adenocarcinoma,5,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,17,0.06692913385826772
Concept-12 PEPS topk=1 tau=0.1,4,NonAdenocarcinoma,1,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,keratinization,38,0.2878787878787879
Concept-12 PEPS topk=1 tau=0.1,4,NonAdenocarcinoma,2,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.,benign reactive lung tissue,26,0.19696969696969696
Concept-12 PEPS topk=1 tau=0.1,4,NonAdenocarcinoma,3,A high magnification histopathology image showing squamous cell carcinoma with intercellular bridges.,intercellular bridges,20,0.15151515151515152
Concept-12 PEPS topk=1 tau=0.1,4,NonAdenocarcinoma,4,A low magnification histopathology image showing necrotic squamous carcinoma nests without glandular differentiation.,necrotic squamous carcinoma nests,16,0.12121212121212122
Concept-12 PEPS topk=1 tau=0.1,4,NonAdenocarcinoma,5,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,13,0.09848484848484848
Concept-12 PEPS topk=1 tau=0.1,5,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,117,0.46062992125984253
