slide_id,fold,label,pred,correct,strategy,top_k,min_dist,sigma,high_prior_mean,high_prior_std,high_prior_p90,high_prior_effective_ratio_0.1,high_prior_effective_ratio_0.3,high_prior_effective_ratio_0.5
2460239-B2,0,0,0,1,raw_topk,5,,4096.0,0.09391869215971735,0.1851470887522391,0.32511830939815695,0.24074074074074073,0.11149691358024691,0.06018518518518518
2460239-B2,0,0,0,1,raw_topk,5,,8192.0,0.25059665048504687,0.2668962566948398,0.6933635405388847,0.5817901234567902,0.33912037037037035,0.19868827160493827
2460239-B2,0,0,0,1,weighted_farthest,5,,4096.0,0.06855745011029206,0.14559311423230775,0.21632788873167547,0.2037037037037037,0.06597222222222222,0.02662037037037037
2460239-B2,0,0,0,1,weighted_farthest,5,,8192.0,0.20535978668366583,0.22315719575882914,0.49585418200420855,0.5848765432098766,0.25810185185185186,0.09876543209876543
2460239-B2,0,0,0,1,random_anchor,5,,4096.0,0.015136540588235284,0.07492645954498568,0.016127817479986428,0.04050925925925926,0.009645061728395061,0.006558641975308642
2460239-B2,0,0,0,1,random_anchor,5,,8192.0,0.0382925966534817,0.10279466613800362,0.12445050198245064,0.11844135802469136,0.010030864197530864,0.010030864197530864
2460239-B2,0,0,0,1,nms_topk,5,2048.0,4096.0,0.09391869215971735,0.1851470887522391,0.32511830939815695,0.24074074074074073,0.11149691358024691,0.06018518518518518
2460239-B2,0,0,0,1,nms_topk,5,2048.0,8192.0,0.25059665048504687,0.2668962566948398,0.6933635405388847,0.5817901234567902,0.33912037037037035,0.19868827160493827
2460239-B2,0,0,0,1,nms_topk,5,4096.0,4096.0,0.09391869215971735,0.1851470887522391,0.32511830939815695,0.24074074074074073,0.11149691358024691,0.06018518518518518
2460239-B2,0,0,0,1,nms_topk,5,4096.0,8192.0,0.25059665048504687,0.2668962566948398,0.6933635405388847,0.5817901234567902,0.33912037037037035,0.19868827160493827
2460239-B2,0,0,0,1,nms_topk,5,8192.0,4096.0,0.08123358076128694,0.15536744016484919,0.2777233333899233,0.23958333333333334,0.08796296296296297,0.03202160493827161
2460239-B2,0,0,0,1,nms_topk,5,8192.0,8192.0,0.24892565084244384,0.2430475100161758,0.6257525956660932,0.6346450617283951,0.33603395061728397,0.1701388888888889
2460239-B2,0,0,0,1,raw_topk,10,,4096.0,0.10725992350068012,0.18611828379588152,0.34807598178488774,0.2966820987654321,0.11921296296296297,0.06404320987654322
2460239-B2,0,0,0,1,raw_topk,10,,8192.0,0.2778469471927424,0.27104551588970804,0.71976658693843,0.6466049382716049,0.37191358024691357,0.22067901234567902
2460239-B2,0,0,0,1,weighted_farthest,10,,4096.0,0.1162021043968679,0.1937919493401765,0.3666983987156887,0.3140432098765432,0.1261574074074074,0.06751543209876543
2460239-B2,0,0,0,1,weighted_farthest,10,,8192.0,0.27096339294599864,0.2567848226206699,0.6747988390967399,0.6504629629629629,0.36921296296296297,0.2037037037037037
2460239-B2,0,0,0,1,random_anchor,10,,4096.0,0.05942197742005022,0.15262400818151298,0.19706133768175157,0.1423611111111111,0.07021604938271606,0.03202160493827161
2460239-B2,0,0,0,1,random_anchor,10,,8192.0,0.17243171408425953,0.2363172202866075,0.517412196617465,0.4074074074074074,0.2195216049382716,0.10493827160493827
2460239-B2,0,0,0,1,nms_topk,10,2048.0,4096.0,0.10725992350068012,0.18611828379588152,0.34807598178488774,0.2966820987654321,0.11921296296296297,0.06404320987654322
2460239-B2,0,0,0,1,nms_topk,10,2048.0,8192.0,0.2778469471927424,0.27104551588970804,0.71976658693843,0.6466049382716049,0.37191358024691357,0.22067901234567902
2460239-B2,0,0,0,1,nms_topk,10,4096.0,4096.0,0.10725992350068012,0.18611828379588152,0.34807598178488774,0.2966820987654321,0.11921296296296297,0.06404320987654322
2460239-B2,0,0,0,1,nms_topk,10,4096.0,8192.0,0.2778469471927424,0.27104551588970804,0.71976658693843,0.6466049382716049,0.37191358024691357,0.22067901234567902
2460239-B2,0,0,0,1,nms_topk,10,8192.0,4096.0,0.0953765466839464,0.15603379333853698,0.2870157800695147,0.2959104938271605,0.09220679012345678,0.03202160493827161
2460239-B2,0,0,0,1,nms_topk,10,8192.0,8192.0,0.2722675459630779,0.24272783255063315,0.6237862214887645,0.6751543209876543,0.3993055555555556,0.18094135802469136
2460628-B2,0,0,0,1,raw_topk,5,,4096.0,0.07104885810490091,0.1650339883036415,0.2953218803555014,0.18515742128935533,0.09745127436281859,0.035982008995502246
2460628-B2,0,0,0,1,raw_topk,5,,8192.0,0.17313623576790077,0.26791779714295827,0.6403252483994382,0.36094452773613195,0.23650674662668666,0.15142428785607195
2460628-B2,0,0,0,1,weighted_farthest,5,,4096.0,0.09676945241157578,0.1833679498433422,0.336105856474005,0.26349325337331336,0.11731634182908546,0.053973013493253376
2460628-B2,0,0,0,1,weighted_farthest,5,,8192.0,0.2524657499616677,0.2973954708454835,0.7653023666427974,0.5112443778110944,0.32233883058470764,0.22863568215892055
2460628-B2,0,0,0,1,random_anchor,5,,4096.0,0.058175895313981006,0.11408205831721725,0.20184670649048023,0.19865067466266867,0.04385307346326837,0.009745127436281859
