file_name,relative_path,file_size,sha256,mtime,dataset_keys,dataset_summary,feature_dataset,feature_shape,feature_dtype,feature_has_nan,feature_has_inf,feature_hash,coords_shape,coords_hash
2460239-B2.h5,features_biomedclip_20x/2460239-B2.h5,4950401,1ce9187e62b3f19afef09d0db87466e496dbf95ceddba39932f01312aabd554b,2026-01-07T11:34:36.226027,"[""coords"", ""features""]","{""coords"": {""dtype"": ""int64"", ""has_inf"": false, ""has_nan"": false, ""shape"": [2592, 2], ""summary_hash"": ""98b8d2ebbe7f3c744958c9db89260859d5334ce58d66abb1b59d1514a865f461""}, ""features"": {""dtype"": ""float32"", ""has_inf"": false, ""has_nan"": false, ""shape"": [2592, 512], ""summary_hash"": ""02e1581f4acb3121617143c4f5606b777b9c7da298f4cc7009e540ac28bf0d12""}}",features,"[2592, 512]",float32,False,False,02e1581f4acb3121617143c4f5606b777b9c7da298f4cc7009e540ac28bf0d12,"[2592, 2]",98b8d2ebbe7f3c744958c9db89260859d5334ce58d66abb1b59d1514a865f461
2460242-B2.h5,features_biomedclip_20x/2460242-B2.h5,11652143,d55d70519b61603e9b89d12d38cde82074bc15644db918363ebb4258eed07b33,2026-01-07T11:34:27.656058,"[""coords"", ""features""]","{""coords"": {""dtype"": ""int64"", ""has_inf"": false, ""has_nan"": false, ""shape"": [6128, 2], ""summary_hash"": ""a3f391e6d44daee977974bd980d2bb23d48eff64ffe1c219b9dd739f66aff9b8""}, ""features"": {""dtype"": ""float32"", ""has_inf"": false, ""has_nan"": false, ""shape"": [6128, 512], ""summary_hash"": ""bb8948d2b445f19ef8d3913bdad041f9952a04d980fb94d723a95cdc2eb07b19""}}",features,"[6128, 512]",float32,False,False,bb8948d2b445f19ef8d3913bdad041f9952a04d980fb94d723a95cdc2eb07b19,"[6128, 2]",a3f391e6d44daee977974bd980d2bb23d48eff64ffe1c219b9dd739f66aff9b8
2460399-B2.h5,features_biomedclip_20x/2460399-B2.h5,7807982,438bdb677b6361550f1bd19bb41deba66fe5cf82270b3be39b9837f926532d20,2026-01-07T11:34:52.163970,"[""coords"", ""features""]","{""coords"": {""dtype"": ""int64"", ""has_inf"": false, ""has_nan"": false, ""shape"": [4103, 2], ""summary_hash"": ""01988cc36a2cf92fe431f3191489b8571c284ae7ad9ef0aaead4e7c217391c28""}, ""features"": {""dtype"": ""float32"", ""has_inf"": false, ""has_nan"": false, ""shape"": [4103, 512], ""summary_hash"": ""80ddad03b462ad06468d7b41de6918b3954d32f1dc7602262900966217237812""}}",features,"[4103, 512]",float32,False,False,80ddad03b462ad06468d7b41de6918b3954d32f1dc7602262900966217237812,"[4103, 2]",01988cc36a2cf92fe431f3191489b8571c284ae7ad9ef0aaead4e7c217391c28
2460404-B3.h5,features_biomedclip_20x/2460404-B3.h5,8090848,8b5df6b4b63e8967c08bbc33181c0e23e16a1efa9ca6d0ad07d4d8a7a70e6abb,2026-01-07T11:34:37.719022,"[""coords"", ""features""]","{""coords"": {""dtype"": ""int64"", ""has_inf"": false, ""has_nan"": false, ""shape"": [4243, 2], ""summary_hash"": ""7386ecdf03eebd6372fcf82e6f2c94bf369cdf10de3f505370be523b7910c4a7""}, ""features"": {""dtype"": ""float32"", ""has_inf"": false, ""has_nan"": false, ""shape"": [4243, 512], ""summary_hash"": ""709cf4818e356de288f4b8da3898d5ad1e340262673bad7c2d2d116f3a163cdf""}}",features,"[4243, 512]",float32,False,False,709cf4818e356de288f4b8da3898d5ad1e340262673bad7c2d2d116f3a163cdf,"[4243, 2]",7386ecdf03eebd6372fcf82e6f2c94bf369cdf10de3f505370be523b7910c4a7
2460405-B2.h5,features_biomedclip_20x/2460405-B2.h5,3324505,e85bad99a9f0b2b68d12a587f153672f09bb488c580f00d7dcb2b2e220ac19ca,2026-01-07T11:34:30.685047,"[""coords"", ""features""]","{""coords"": {""dtype"": ""int64"", ""has_inf"": false, ""has_nan"": false, ""shape"": [1742, 2], ""summary_hash"": ""7afbcac2b2f0a7b40cc93520609bec478ad11d78792fe6d34e5803d8f20b7f2b""}, ""features"": {""dtype"": ""float32"", ""has_inf"": false, ""has_nan"": false, ""shape"": [1742, 512], ""summary_hash"": ""374c13717cd6c7379f37e0036783f64bf49249d5bb66bc264b2a1942c4095d22""}}",features,"[1742, 512]",float32,False,False,374c13717cd6c7379f37e0036783f64bf49249d5bb66bc264b2a1942c4095d22,"[1742, 2]",7afbcac2b2f0a7b40cc93520609bec478ad11d78792fe6d34e5803d8f20b7f2b
2460591-B2.h5,features_biomedclip_20x/2460591-B2.h5,6193197,a022a0c2026a23228e89e1d310f06a7b50208734358278d6cbf94abae1fb598c,2026-01-07T11:35:05.936921,"[""coords"", ""features""]","{""coords"": {""dtype"": ""int64"", ""has_inf"": false, ""has_nan"": false, ""shape"": [3248, 2], ""summary_hash"": ""db4f7c07dcc03624ebf02f7040dde110e765b02262b7630e9caa6e568cbee8dd""}, ""features"": {""dtype"": ""float32"", ""has_inf"": false, ""has_nan"": false, ""shape"": [3248, 512], ""summary_hash"": ""c77c2f51c060a7da2a9190ca540a2236ba970051d2db195bae9c007476ef1123""}}",features,"[3248, 512]",float32,False,False,c77c2f51c060a7da2a9190ca540a2236ba970051d2db195bae9c007476ef1123,"[3248, 2]",db4f7c07dcc03624ebf02f7040dde110e765b02262b7630e9caa6e568cbee8dd
2460602-B.h5,features_biomedclip_20x/2460602-B.h5,7058840,4a34fa80eadb6a84d6762244e21d1af2178553acc4d4a93fa2d48e283549cae3,2026-01-07T11:34:31.468044,"[""coords"", ""features""]","{""coords"": {""dtype"": ""int64"", ""has_inf"": false, ""has_nan"": false, ""shape"": [3707, 2], ""summary_hash"": ""d23157733eb2111b9bb0b169b8e143ae918beb455ffca0461e6106f52c9f26a0""}, ""features"": {""dtype"": ""float32"", ""has_inf"": false, ""has_nan"": false, ""shape"": [3707, 512], ""summary_hash"": ""5514e1d2697d8b7ab27eddd8ff3a280a24df4be573c5c5eaa202d9c23164d48a""}}",features,"[3707, 512]",float32,False,False,5514e1d2697d8b7ab27eddd8ff3a280a24df4be573c5c5eaa202d9c23164d48a,"[3707, 2]",d23157733eb2111b9bb0b169b8e143ae918beb455ffca0461e6106f52c9f26a0
2460615-B4.h5,features_biomedclip_20x/2460615-B4.h5,3951300,4ec11393943d59483d5358bb46dfd9ee4eb422bd0c9939f3300cd40bfcdc33dd,2026-01-07T11:34:17.698093,"[""coords"", ""features""]","{""coords"": {""dtype"": ""int64"", ""has_inf"": false, ""has_nan"": false, ""shape"": [2071, 2], ""summary_hash"": ""e948cc84f4c36ffb6d2ae2950fcaaf3d8fd984fa0ec531df168954174c3ae9a4""}, ""features"": {""dtype"": ""float32"", ""has_inf"": false, ""has_nan"": false, ""shape"": [2071, 512], ""summary_hash"": ""cf1d32dfddada70c19abbb39d80b09f117ec446c589eb002e26cb17017851b16""}}",features,"[2071, 512]",float32,False,False,cf1d32dfddada70c19abbb39d80b09f117ec446c589eb002e26cb17017851b16,"[2071, 2]",e948cc84f4c36ffb6d2ae2950fcaaf3d8fd984fa0ec531df168954174c3ae9a4
2460628-B2.h5,features_biomedclip_20x/2460628-B2.h5,5092784,305e24459c3f4f3244605a9a462a1cab741ed5e32e8862ab754e63e8129cf031,2026-01-07T11:34:44.692997,"[""coords"", ""features""]","{""coords"": {""dtype"": ""int64"", ""has_inf"": false, ""has_nan"": false, ""shape"": [2668, 2], ""summary_hash"": ""b10aa84fc1730b83afbe281406ad8c92fbff06504395ecaa78b84222a275d8cd""}, ""features"": {""dtype"": ""float32"", ""has_inf"": false, ""has_nan"": false, ""shape"": [2668, 512], ""summary_hash"": ""e6c4b4de9394f6ab95ffda684c916ed15fe24c5da1e6a6ab519e6ca813c8327a""}}",features,"[2668, 512]",float32,False,False,e6c4b4de9394f6ab95ffda684c916ed15fe24c5da1e6a6ab519e6ca813c8327a,"[2668, 2]",b10aa84fc1730b83afbe281406ad8c92fbff06504395ecaa78b84222a275d8cd
2460641-B2.h5,features_biomedclip_20x/2460641-B2.h5,6685670,0d8eed86382525e8e03009fb2c5506a78da448a44430e364575e16c658d79ec2,2026-01-07T11:34:32.995039,"[""coords"", ""features""]","{""coords"": {""dtype"": ""int64"", ""has_inf"": false, ""has_nan"": false, ""shape"": [3511, 2], ""summary_hash"": ""14eb2f1cef466b4af8851390970adc13e53daa86d2533fd50b60de16e5d047c8""}, ""features"": {""dtype"": ""float32"", ""has_inf"": false, ""has_nan"": false, ""shape"": [3511, 512], ""summary_hash"": ""137450765b8a018efca7b5dc41433be40fc120fcf833d5d44bc20f7572a6e31e""}}",features,"[3511, 512]",float32,False,False,137450765b8a018efca7b5dc41433be40fc120fcf833d5d44bc20f7572a6e31e,"[3511, 2]",14eb2f1cef466b4af8851390970adc13e53daa86d2533fd50b60de16e5d047c8
