concept_id,concept_zh,concept_en,radiology_Adenocarcinoma,radiology_NonAdenocarcinoma,radiology_total,example_snippets
rad_ground_glass,磨玻璃影/磨玻璃结节,ground-glass opacity or ground-glass nodule,371,83,454,"影像所见:  右肺上叶后段支气管旁见一磨玻璃影,大小约17mm×13mm(203-106),边界清楚,邻 | 患者2023年体检CT平扫示右上肺混合磨玻璃结节,大小约10mm×7mm,定期复查,结节缓慢在增大,20 | 像所见:  双肺纹理清晰,双肺见散在多发磨玻璃结节影,直径约3-14mm,较大者位于左肺上叶前段(203- | 院,完善胸部CT提示右肺见多发部分实性及磨玻璃结节,较大结节位于右肺上叶后段(203-100)及尖段(20"
rad_solid_nodule,实性结节/实性肿块,solid pulmonary nodule or mass,326,79,405,"影像所见:  左肺上叶尖后段见部分实性结节影,大小约16mm×12mm(203-57),可见空泡征象。 | 双肺门及纵隔淋巴结情况见下表。双肺见数个实性结节影,边界清晰,约0.3-0.6cm,FDG摄取未见异常。双侧 | 0)及尖段(203-68),最大者为部分实性结节影,大小12mm×8mm,可见分叶、充气支气管征象,相邻胸膜 | :  左肺上叶前段(302-78)见部分实性结节影,大小约8mm×6mm,可见空泡及分叶征象,边缘欠清。双肺"
rad_lobulation,分叶,lobulation,273,63,336,"后段见实性肿块,形态不整,边界不清,可见分叶、毛刺、胸膜凹陷、充气支气管、棘状突起征象,中度不均匀强化, | 左肺上叶舌段斜裂胸膜下见实性结节影,边见分叶、毛刺、胸膜凹陷征象,不均匀强化,FDG药物摄取增高,病灶大 | 分实性结节影,大小12mm×8mm,可见分叶、充气支气管征象,相邻胸膜增厚 | 结节影,大小约8mm×6mm,可见空泡及分叶征象,边缘欠清。双肺另见多发实性及磨玻璃结节影,直径约2-3"
rad_spiculation,毛刺/棘状突起,spiculation,217,53,270,"斑块影,大小约为2.8×1.2cm,边缘毛糙,周围见少许斑片及细小结节影,密度欠均匀,呈较明显均匀强化, | 实性肿块,形态不整,边界不清,可见分叶、毛刺、胸膜凹陷、充气支气管、棘状突起征象,中度不均匀强化,FDG | 结节灶,内见空洞形成,病灶边缘毛糙,可见毛刺及分叶,增强扫描轻度强化,局部见FDG药物摄取增高,病灶大小 | 影,大小约23mm×23mm,可见分叶、毛刺、胸膜凹陷征象。 2024-10-26PET/CT全身显像,"
rad_calcification,钙化,calcification,197,56,253,"×3.2cm。双肺见多发致密小结节状影及钙化灶,约0.3-0.7cm,部分呈纤维斑块,以双肺上叶为著,F | 建议病理检查;2.双肺微小实性结节,部分钙化,考虑增殖钙化灶,双侧胸膜粘连、增厚;3.纵膈多发小淋巴结, | 构未见异常;主动脉及冠状动脉走行区见多发钙化斑块影。双侧胸腔未见积液。扫及骨骼未见骨质破坏。扫及肝多发囊 | 叶后段4.5。余双肺多发磨玻璃影、实性及钙化小结节,约0.3-0.4cm,FDG药物摄取未见增高。 报告"
rad_pleural_indentation,胸膜凹陷/胸膜牵拉,pleural indentation or pleural retraction,215,33,248,"块,形态不整,边界不清,可见分叶、毛刺、胸膜凹陷、充气支气管、棘状突起征象,中度不均匀强化,FDG药物摄取增 | 斜裂胸膜下见实性结节影,边见分叶、毛刺、胸膜凹陷征象,不均匀强化,FDG药物摄取增高,病灶大小1.5cm×1 | 小约23mm×23mm,可见分叶、毛刺、胸膜凹陷征象。 2024-10-26PET/CT全身显像,检查提示: | 一软组织肿块影,边缘毛糙,见分叶、毛刺、胸膜牵拉凹陷,增强扫描明显不均匀强化,FDG药物摄取增高,SUVma"
rad_part_solid,部分实性/混合磨玻璃结节,part-solid nodule,207,24,231,"影像所见:  左肺上叶尖后段见部分实性结节影,大小约16mm×12mm(203-57),可见空泡征 | 见:  双肺纹理清晰。左肺上叶前段可见一部分实性结节影(203-84),大小约10mm×7mm。双肺上叶见直 | 就诊我院,完善胸部CT提示右肺见多发部分实性及磨玻璃结节,较大结节位于右肺上叶后段(203-100)及尖 | 所见:  左肺上叶前段(302-78)见部分实性结节影,大小约8mm×6mm,可见空泡及分叶征象,边缘欠清。"
rad_fdg_uptake,FDG摄取/糖代谢增高,increased FDG uptake,167,48,215,"  头颈部:鼻咽左侧壁稍增厚并明显强化,FDG摄取增高,SUVmax:4.0。双侧上颌窦粘膜增厚,双侧筛窦、额窦及 | 气支气管、棘状突起征象,中度不均匀强化,FDG药物摄取增高,大小及SUVmax详见下表;病灶边界不清,与脊柱旁胸膜分界 | 分支相通,增强扫描边缘轻-中度强化,边缘FDG药物摄取增高,病灶大小:右肺上叶尖后段3.5×3.0、右肺上叶后段1.5 | 可见毛刺及分叶,增强扫描轻度强化,局部见FDG药物摄取增高,病灶大小16mm*16mm,SUVmax:9.0。 202"
rad_lymph_node,淋巴结增大/肿大,lymph node enlargement,139,39,178,"。双侧睾丸生理性显影。盆腔及双侧腹股沟区淋巴结未见肿大及FDG药物摄取分布异常。  骨关节及肌肉:所示诸骨结构完整 | 行分布正常,气管支气管通畅。双肺门及纵隔淋巴结未见增大及异常FDG药物浓聚。双侧胸壁FDG药物摄取分布未见异常,双 | 。双侧睾丸生理性显影。盆腔及双侧腹股沟区淋巴结未见肿大及FDG药物摄取分布异常。  骨关节及肌肉:颈1、左侧第2后 | 性肿瘤可能,建议密切专科随诊。 2.纵隔淋巴结增大,待排转移。 3.双肺少许炎症,建议治疗后复查。"
rad_air_bronchogram,支气管充气征/充气支气管,air bronchogram,75,13,88,"整,边界不清,可见分叶、毛刺、胸膜凹陷、充气支气管、棘状突起征象,中度不均匀强化,FDG药物摄取增高,大小及S | 见一实性结节,边缘毛糙,可见分叶、毛刺、支气管充气、血管集束征象,邻近胸膜牵拉、凹陷,局部侵及右肺上叶后段,增 | 结节影,大小12mm×8mm,可见分叶、充气支气管征象,相邻胸膜增厚 | 节影,边界清,可见分叶、毛刺、胸膜凹陷、充气支气管征象,平扫密度稍欠均匀,FDG药物摄取增高,SUVmax:1"
rad_vacuole,空泡征,vacuole sign,68,14,82,"16mm×12mm(203-57),可见空泡征象。气管及主要支气管通畅。双侧肺门及纵隔未见增大淋巴结。心 | cm,见分叶、毛刺、胸膜凹陷、血管集束、空泡征,不均匀强化,FDG药物摄取增高,SUVmax:11.6; | 分实性结节影,大小约8mm×6mm,可见空泡及分叶征象,边缘欠清。双肺另见多发实性及磨玻璃结节影,直径约 | 4mm×13mm,可见分叶、毛刺征,内见空泡。"
rad_emphysema_bulla,肺气肿/肺大泡,emphysema or pulmonary bullae,47,7,54,"脑。 4.结节性甲状腺肿。 5.提示慢支肺气肿、肺大泡,双肺上叶陈旧性肺结核,请注意患者呼吸功能。 6.肝 |  4.双肺炎性肉芽肿可能,建议定期复查;肺气肿。 5.左侧肾上腺增生;双肾囊肿;前列腺钙化。 6.L2、L | 身显像余部位未见恶性肿瘤代谢影像。 5.肺气肿,双肺下叶间质性病变,双肺炎性结节可能。 6.骶骨棘突欠完整 | 虑双肺少许慢性炎症或纤维灶,大致同前。 肺气肿,大致同前。 右肺中叶钙化灶。 主动脉及冠状动脉粥样硬化;考"
rad_cavity,空洞,cavitation,20,4,24,"18mm实性结节(301-65),内可见空洞,见分叶征、毛刺征;双肺散在条索影。气管及主要支气管通畅。双 | ×12mm(301-92),部分病灶内见空洞影,邻近叶间裂可见牵拉粘连。余双肺见多发纯磨玻璃结节,较大者 | ,检查提示:右肺上叶尖段见一结节灶,内见空洞形成,病灶边缘毛糙,可见毛刺及分叶,增强扫描轻度强化,局部见 | 常。 胸部:左肺下叶内前基底段可见一厚壁空洞样肿块影,边界欠清晰,边缘毛糙,病变牵拉邻近胸膜内陷,肿块密"
rad_pleural_effusion,胸腔积液,pleural effusion,6,3,9,"增厚,糖代谢增高,考虑炎性可能;左侧少量胸腔积液。 2.18F-FDG-PET/CT全身显像余部位未见恶性肿 | 复查。 心脏术后改变,较前相仿。 原双侧胸腔积液已吸收。 考虑肝S8囊肿可能性大,较前增大。 | 4.双肺间质性肺炎;肺气肿并肺大泡;双侧胸腔积液。 5.食管下段生理性或炎性摄取可能;左肾囊肿;前列腺钙化。 | 取增高,大小及SUVmax详见下表。右侧胸腔积液。右侧侧胸壁稍肿胀,FDG药物摄取增高,SUVmax:6.4"
