flip_type,fold,sample_id,slide_id,label,pred_full,pred_concept_only,pred_visual_only,pred_full_without_visual,full_correct,concept_correct,visual_correct,full_without_visual_correct,full_margin,concept_margin,visual_margin,csg_margin,visual_contribution_ratio,concept_contribution_ratio,csg_contribution_ratio
concept_only_correct_full_wrong,4,25020799B5,25020799B5,1,0,1,0,1,False,True,False,True,-0.36490678787231445,0.11347556114196777,-0.47481614351272583,0.032283980399370193,0.12499848753213882,0.8750014901161194,0.012296045199036598
concept_only_correct_full_wrong,4,25058627B2,25058627B2,1,0,1,0,1,False,True,False,True,-0.11826074123382568,0.8919965028762817,-1.006691336631775,0.010300048626959324,0.3430068790912628,0.6569931507110596,0.002642963780090213
visual_only_correct_concept_wrong,4,25045807B4,25045807B4,1,1,0,1,0,True,False,True,False,0.5102381706237793,-0.3466477394104004,0.8604516386985779,0.0025970025453716516,0.15664345026016235,0.8433565497398376,0.00031388382194563746
visual_only_correct_concept_wrong,4,25048669B2,25048669B2,1,1,0,1,0,True,False,True,False,1.1402130126953125,-0.6008796691894531,1.7446582317352295,0.0042162672616541386,0.19318385422229767,0.8068161010742188,0.0007617170922458172
concept_only_wrong_full_correct,4,25045807B4,25045807B4,1,1,0,1,0,True,False,True,False,0.5102381706237793,-0.3466477394104004,0.8604516386985779,0.0025970025453716516,0.15664345026016235,0.8433565497398376,0.00031388382194563746
concept_only_wrong_full_correct,4,25048669B2,25048669B2,1,1,0,1,0,True,False,True,False,1.1402130126953125,-0.6008796691894531,1.7446582317352295,0.0042162672616541386,0.19318385422229767,0.8068161010742188,0.0007617170922458172
full_without_visual_correct_full_wrong,4,25020799B5,25020799B5,1,0,1,0,1,False,True,False,True,-0.36490678787231445,0.11347556114196777,-0.47481614351272583,0.032283980399370193,0.12499848753213882,0.8750014901161194,0.012296045199036598
full_without_visual_correct_full_wrong,4,25058627B2,25058627B2,1,0,1,0,1,False,True,False,True,-0.11826074123382568,0.8919965028762817,-1.006691336631775,0.010300048626959324,0.3430068790912628,0.6569931507110596,0.002642963780090213
full_correct_full_without_visual_wrong,4,25045807B4,25045807B4,1,1,0,1,0,True,False,True,False,0.5102381706237793,-0.3466477394104004,0.8604516386985779,0.0025970025453716516,0.15664345026016235,0.8433565497398376,0.00031388382194563746
full_correct_full_without_visual_wrong,4,25048669B2,25048669B2,1,1,0,1,0,True,False,True,False,1.1402130126953125,-0.6008796691894531,1.7446582317352295,0.0042162672616541386,0.19318385422229767,0.8068161010742188,0.0007617170922458172
