section,experiment,low_top1_unique_prompts_mean,high_top1_unique_prompts_mean,low_prompt_entropy_mean,high_prompt_entropy_mean,low_prompt_collapse_rate_mean,high_prompt_collapse_rate_mean,fold,low_top1_unique_prompts,high_top1_unique_prompts,low_prompt_entropy,high_prompt_entropy,low_prompt_collapse_rate,high_prompt_collapse_rate,true_class_name,rank,prompt_text,prompt_concept,count,frequency
diversity_overall,Concept-12 PEPS topk=5 tau=0.07,9.8,6.6,1.4558614179689227,1.185940945974321,0.521558677421078,0.5197318519309866,,,,,,,,,,,,,
diversity_overall,Concept-12 MLP dynamic_gate,2.6,3.0,0.7500487510962587,0.8567223715448519,0.6436087815821805,0.5590726991079537,,,,,,,,,,,,,
diversity_per_fold,Concept-12 PEPS topk=5 tau=0.07,,,,,,,1.0,12.0,8.0,1.3481306844416976,1.7077259897596992,0.6134020618556701,0.28350515463917525,,,,,,
diversity_per_fold,Concept-12 PEPS topk=5 tau=0.07,,,,,,,2.0,8.0,6.0,1.1436067485426604,1.0633412066066998,0.6185567010309279,0.5154639175257731,,,,,,
diversity_per_fold,Concept-12 PEPS topk=5 tau=0.07,,,,,,,3.0,9.0,6.0,1.5819825477414386,0.9304459191155999,0.4639175257731959,0.6597938144329897,,,,,,
diversity_per_fold,Concept-12 PEPS topk=5 tau=0.07,,,,,,,4.0,8.0,5.0,1.4563007971730397,0.8222027999718972,0.5181347150259067,0.6528497409326425,,,,,,
diversity_per_fold,Concept-12 PEPS topk=5 tau=0.07,,,,,,,5.0,12.0,8.0,1.7492863119457756,1.4059888144177104,0.39378238341968913,0.48704663212435234,,,,,,
diversity_per_fold,Concept-12 MLP dynamic_gate,,,,,,,1.0,2.0,5.0,0.6695255840699796,1.2104867867409168,0.6082474226804123,0.3865979381443299,,,,,,
diversity_per_fold,Concept-12 MLP dynamic_gate,,,,,,,2.0,3.0,3.0,0.9026687925982844,0.7329235995105023,0.6391752577319587,0.6391752577319587,,,,,,
diversity_per_fold,Concept-12 MLP dynamic_gate,,,,,,,3.0,4.0,3.0,0.8837427621753854,1.0458948548351974,0.6701030927835051,0.4690721649484536,,,,,,
diversity_per_fold,Concept-12 MLP dynamic_gate,,,,,,,4.0,2.0,2.0,0.6423328160863095,0.6423328160863095,0.6580310880829016,0.6580310880829016,,,,,,
diversity_per_fold,Concept-12 MLP dynamic_gate,,,,,,,5.0,2.0,2.0,0.6519738005513339,0.6519738005513339,0.6424870466321243,0.6424870466321243,,,,,,
top_prompts,Concept-12 PEPS topk=5 tau=0.07,,,,,,,,,,,,,,Adenocarcinoma,1.0,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,493.0,0.3869701726844584
top_prompts,Concept-12 PEPS topk=5 tau=0.07,,,,,,,,,,,,,,Adenocarcinoma,2.0,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,419.0,0.32888540031397173
top_prompts,Concept-12 PEPS topk=5 tau=0.07,,,,,,,,,,,,,,Adenocarcinoma,3.0,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,93.0,0.07299843014128729
top_prompts,Concept-12 PEPS topk=5 tau=0.07,,,,,,,,,,,,,,Adenocarcinoma,4.0,A low magnification histopathology image showing lung adenocarcinoma with lepidic growth pattern.,lepidic growth pattern,81.0,0.06357927786499215
top_prompts,Concept-12 PEPS topk=5 tau=0.07,,,,,,,,,,,,,,Adenocarcinoma,5.0,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,atypical gland-forming tumor cells,53.0,0.041601255886970175
top_prompts,Concept-12 PEPS topk=5 tau=0.07,,,,,,,,,,,,,,Adenocarcinoma,6.0,A high magnification histopathology image showing adenocarcinoma cells forming glandular lumina.,glandular lumen formation,27.0,0.02119309262166405
top_prompts,Concept-12 PEPS topk=5 tau=0.07,,,,,,,,,,,,,,Adenocarcinoma,7.0,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,25.0,0.019623233908948195
top_prompts,Concept-12 PEPS topk=5 tau=0.07,,,,,,,,,,,,,,Adenocarcinoma,8.0,A high magnification histopathology image showing solid sheets of adenocarcinoma cells with nuclear atypia.,solid sheets with nuclear atypia,23.0,0.01805337519623234
top_prompts,Concept-12 PEPS topk=5 tau=0.07,,,,,,,,,,,,,,Adenocarcinoma,9.0,A high magnification histopathology image showing adenocarcinoma cells with intracytoplasmic mucin vacuoles.,intracytoplasmic mucin vacuoles,21.0,0.016483516483516484
top_prompts,Concept-12 PEPS topk=5 tau=0.07,,,,,,,,,,,,,,Adenocarcinoma,10.0,A high magnification histopathology image showing lepidic tumor cells growing along alveolar septa.,lepidic tumor cells along alveolar septa,20.0,0.015698587127158554
